Submission date	OS	Version	Rating	Combined Review	Likes
2023-02-08 18:31:29	iOS	1.4.4	1	Very glitchy and long load times - Not sure why our daycare pays for this app. It’s often glitchy, video and photos have issues when trying to tap to view, and lately I can’t even get the update feed to load. Daycares need to pick a different app developer because this one isn’t worth it.    Edit - welp turns out this app is owned Learning Care Grouo which is owned by a private equity firm who also owns the daycare we send our kid to. Probably means the daycares are captive clients (ie probably forced to use this app). Also means this app will always be terrible because if the daycares are forced to use it because they are both owned by the same parent company there probably won’t be competition from an outside app company…. Thanks for making a terrible app in the name of profit	
2023-02-08 17:09:29	iOS	1.4.4	2	Glitchy and slow - I feel like I have issues every day with this app. Currently, I can’t even get it to open and load updates. To get the video to stream I usually have to close and reopen the app all together. Hoping newer versions with updates come soon	0
2023-02-08 13:42:45	iOS	1.4.4	2	Inconsistent - App works inconsistently. Sometimes it works with all functions, others it opens but never loads. Sometimes the camera streaming functionality freezes and you have to refresh to re-load it. Messages from parents to teachers don’t always go through. It’s a very clunky app that needs work. It’s frustrating to not be able to follow my children throughout their day or know when my infant has had bottles/naps. Would rather use another app service.	0
2023-02-08 13:10:49	iOS	1.4.4	1	Garbage - This app is garbage. It takes forever to load and often will never load. The teachers have a hard time updating it. The video always freezes. I wish my daycare would switch back to Brightwheel because this app is not usable most days.	0
2023-02-08 12:27:42	iOS	1.4.4	1	Please fix this app - Often, I’ll try to open the app when I receive a notification and the app simply will not load or open. This is unacceptable when this app is the main way our childcare provider communicates with us.	0
2023-02-08 12:10:00	iOS	1.4.4	2	Awful - We use this app as our daughter is in daycare and we like to watch how she’s doing and get updates. However, we can never do that as the app is ALWAYS freezing and we cannot see our daughter. It’s constantly refreshing with that spinning circle and signs us out and/or doesn’t show us anything. This is ridiculous and needs to be fixed asap.	0
2023-02-08 11:32:51	iOS	1.4.4	2	Freezes A LOT!! - After you log in the app freezes for a long time and there isn’t a way to unfreeze it. I tried restarting, uninstalling and reinstalling. Please try and fix it	0
2023-02-08 11:22:01	iOS	1.4.4	3	It’s ok…but needs much work - It’s a decent app…when it works properly. The video section is unbelievably glitchy. Whenever I try to use it I get a note that there are unlimited 30 minute viewing windows which is fine but as soon as you try to view it freezes then you have to fuss with the app to get it to display the message to allow you to view again. This seems to happen lately whenever I try to view video which seems odd. Assuming this is a new addition because that didn’t previously happen. It’s absolutely annoying so I hope this is fixed sooner rather than later. The app also doesn’t always send messages so I echo the sentiment of others on this. I’ve logged in and out and even restarted my phone to see if it resolves the issue but it doesn’t so the issue definitely seems to be with the app itself. Also it occasionally will say there are no active children enrolled on the account but then the app will miraculously show them after a bit more fussing with the app. Not sure what is going on behind the scenes with the app but hopefully the bugs are worked out soon.	
2023-02-08 10:33:58	iOS	1.4.4	1	Slow - The app is extremely slow and everything takes a long time to load. Switching between messages to updates and video takes a long time and hasn’t improved during the year plus I’ve used it.	0
2023-02-07 22:23:13	iOS	1.4.4	2	Constantly ends session - I really dislike this app. It CONSTANTLY ends my viewing sessions. Sometimes only minutes after logging in to check on my child. I’ll watch for a few minutes and then I have to sign back in to keep watching. Seriously annoying.	0
2023-02-07 21:43:39	iOS	1.4.4	1	Horrendous load times - This app consistently hangs and doesn't load pages. When I tap a notification that my child is tagged in, 9/10 times it does not find the entry. It also fails to load my account a good amount of the time. Image gallery viewing is a simple concept that you don't even think about in most apps, but this one makes a bad experience out of it. Decent concepts for an app but horrible execution.	0
2023-02-07 20:50:45	iOS	1.4.4	1	Latest update - The last update has caused so many lags that I’ve never experienced before. The home page doesn’t load and the video icon doesn’t even load half the time.	0
2023-02-07 20:49:30	iOS	1.4.4	1	JUNK!!!!! - Bring Brightwheel back!!!!! This app is JUNKKKK!!!!!!!! IT NEVER WORKS!!!!!	0
2023-02-07 20:42:24	iOS	1.4.4	1	Won’t even open - I don’t know what’s going on with this app, but it won’t even open for me anymore	0
2023-02-07 20:27:03	iOS	1.4.4	1	Slow, no good - This app is so slow! Most of the time I am having to close the app and reopen just to get it to load. It then still takes forever to load. I want brightwheel back! You can only see the classrooms with this app so when my son goes to the soft play room I can’t have access to the cameras in that room. The cameras frequently just stop as well. I would give this app 0 stars if it was possible.	0
2023-02-07 19:18:13	iOS	1.4.4	1	A slow, buggy mess. - Please hire a competent senior software engineer or two to come in and fix your app. There is no fathomable reason the home page should load so slowly (or often not at all), and the messaging system, one of the most important aspects of an app like this, is still entirely unreliable.	0
